-1,-1,-1,-1,-1,-1,58.0316,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,47.9466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.9788,-1
58.0426,-1,-1,-1,40.5335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.0597
-1,13.0508,-1,4.05576,-1,-1,-1,-1,-1,-1,-1,-1,111.801,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,49.5881,81.9324,49.8703,-1,57.5843,86.6435,53.1371
53.3424,-1,-1,18.2179,76.4332,7.51538,-1,-1,-1,-1,-1,90.4515,72.1064,-1,90.2274
-1,-1,-1,73.7408,-1,-1,-1,-1,-1,46.5688,-1,56.3936,9.19241,57.8085,-1
-1,62.5262,34.493,-1,55.6325,2.77473,-1,50.3009,-1,-1,-1,104.387,-1,76.2372,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52.1863,83.2944,-1
3.46267,-1,-1,54.5572,-1,-1,-1,-1,-1,-1,47.1054,-1,-1,60.3237,-1
36.9526,-1,-1,45.9487,-1,-1,-1,-1,-1,-1,51.9379,-1,-1,49.5554,-1
9.18669,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.6985,-1,57.1601,-1,-1
111.46,46.5474,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59.956,37.814,60.2375,-1,-1,-1,70.0319,-1,-1,-1,-1,-1,-1,86.0771,-1
-1,-1,-1,56.6344,-1,77.558,-1,-1,-1,-1,-1,-1,110.898,58.073,-1
-1,-1,53.9942,-1,-1,-1,-1,-1,-1,7.11958,-1,-1,-1,58.867,61.8396
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,73.6251,-1,62.9501,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,70.3401,-1,-1,58.1053,-1,-1,-1,30.0767,-1,-1,-1,-1,-1,64.6851
53.5011,44.3327,-1,-1,-1,-1,-1,-1,47.7358,-1,-1,-1,-1,-1,-1
104.32,55.7004,-1,61.1578,-1,-1,-1,-1,57.8196,5.03101,-1,47.3445,-1,110.937,-1
13.946,47.4524,54.9002,70.0486,-1,89.3722,-1,-1,71.5465,-1,-1,-1,-1,68.3702,64.9837
83.408,-1,44.6675,-1,57.5119,43.368,-1,92.579,49.7589,-1,-1,-1,-1,-1,32.2772
-1,-1,-1,-1,-1,-1,71.7469,-1,-1,-1,-1,-1,-1,-1,89.5889
-1,53.9877,-1,-1,81.5566,-1,-1,54.6096,-1,50.8979,-1,-1,-1,-1,33.0413
-1,-1,-1,56.9651,-1,-1,-1,53.5153,-1,-1,-1,64.7298,-1,-1,-1
-1,-1,-1,42.2462,-1,-1,112.478,-1,-1,-1,-1,52.0041,69.0687,-1,-1
-1,-1,49.8637,52.9112,-1,-1,-1,-1,31.9865,-1,68.4084,-1,-1,-1,-1
49.4305,-1,52.5501,-1,-1,38.882,110.887,-1,-1,39.0891,59.6997,-1,-1,20.2982,55.3598
-1,-1,-1,-1,-1,-1,-1,-1,111.586,39.5953,76.1709,-1,110.505,-1,57.0618
17.4835,-1,36.1587,-1,-1,33.913,36.9011,48.4442,-1,55.7177,80.4919,-1,54.9425,10.2673,-1
66.9453,-1,-1,111.234,51.6174,5.99341,-1,-1,51.941,-1,94.3568,-1,-1,-1,-1
21.7068,-1,-1,-1,-1,-1,43.4762,-1,79.5271,10.8428,-1,54.5014,-1,59.7989,-1
-1,-1,-1,-1,-1,-1,-1,-1,94.989,60.0923,-1,-1,-1,93.8757,103.302
-1,-1,-1,-1,-1,26.3566,55.4219,77.9612,-1,-1,-1,-1,-1,57.8378,-1
-1,-1,-1,90.1579,39.0181,-1,-1,-1,-1,-1,49.7559,-1,-1,57.7597,-1
72.4146,-1,-1,-1,57.2242,-1,19.7091,-1,42.7059,-1,-1,16.756,39.3582,54.9447,-1
-1,48.0025,-1,55.7145,52.2867,-1,55.644,2.72291,55.7944,64.5738,-1,95.0822,74.8756,111.031,53.4672
-1,55.2799,46.6509,68.6311,-1,-1,41.3945,57.9789,56.2216,-1,56.572,107.817,54.6353,-1,52.8242
-1,89.3456,-1,65.1773,-1,-1,-1,60.9257,92.0184,-1,-1,85.3434,-1,-1,-1
-1,59.7592,47.2516,68.8235,-1,91.062,-1,105.006,-1,53.0699,14.2189,-1,68.007,88.1966,36.582
16.608,107.339,102.554,78.9328,-1,-1,51.1068,112.477,-1,-1,-1,-1,105.53,98.0217,-1
-1,54.7227,-1,-1,-1,58.5055,96.7095,-1,97.1567,44.9777,109.603,-1,-1,-1,-1
63.3057,82.5239,53.9522,-1,51.1219,69.2482,-1,49.7486,-1,82.0069,61.7498,-1,-1,-1,53.0538
71.8004,110.99,110.544,-1,-1,-1,112.378,-1,-1,60.2757,57.5944,112.453,85.559,-1,43.7363
75.6268,-1,72.335,49.7764,-1,-1,19.1036,63.5004,89.5796,62.3648,-1,-1,94.1712,103.398,85.2295
-1,-1,112.734,54.8339,-1,-1,99.0373,-1,-1,111.802,109.205,108.825,-1,105.829,-1
83.9916,-1,104.926,93.9979,100.549,112.454,101.624,-1,-1,109.757,112.799,-1,56.9067,-1,111.278
-1,-1,-1,99.0301,109.082,110.081,36.1421,-1,-1,112.66,103.192,106.048,113.142,-1,87.2869
