-1,-1,-1,-1,59.4499,-1,-1,-1,-1,-1
-1,38.5735,33.0604,-1,71.4423,-1,-1,-1,-1,-1
-1,-1,-1,44.1373,-1,-1,40.6296,48.0927,-1,42.1487
-1,-1,-1,-1,-1,-1,53.9089,-1,-1,-1
-1,65.2813,91.0744,-1,79.6673,-1,49.96,-1,-1,74.791
38.0917,5.70839,-1,103.596,-1,51.6354,62.8504,-1,46.8857,29.8138
45.1968,-1,-1,58.4829,-1,-1,-1,-1,-1,-1
7.02668,20.1431,-1,-1,29.9213,-1,-1,-1,40.3968,-1
60.8631,-1,50.9479,-1,-1,-1,-1,40.435,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,75.3525
38.7257,-1,31.161,-1,-1,-1,-1,40.2489,-1,-1
10.8625,46.8857,-1,-1,-1,-1,35.8952,-1,11.3241,-1
-1,-1,-1,91.522,-1,-1,-1,23.3403,-1,-1
-1,-1,-1,-1,41.7065,-1,25.6315,3.50608,-1,-1
-1,-1,102.212,-1,-1,-1,-1,4.491,-1,-1
55.5021,-1,-1,54.455,51.2008,-1,59.7633,-1,31.6487,-1
-1,-1,-1,68.0801,-1,-1,-1,-1,46.6186,108.184
-1,-1,65.07,-1,-1,-1,-1,-1,-1,42.6969
-1,31.7898,34.6674,-1,-1,50.2058,44.1055,-1,16.387,-1
44.4252,-1,-1,-1,9.36075,64.0265,61.8497,-1,-1,-1
43.5434,-1,31.9498,36.0529,40.7542,-1,-1,-1,-1,-1
-1,-1,67.293,-1,-1,-1,-1,-1,-1,-1
46.9608,-1,-1,88.5911,-1,-1,-1,-1,-1,48.1579
-1,-1,-1,51.6383,-1,58.9811,52.609,62.4736,-1,22.8385
55.5171,-1,109.074,57.9564,-1,36.8032,57.8737,58.5531,-1,-1
-1,73.0298,-1,-1,56.3846,58.5125,-1,15.2007,-1,-1
100.407,-1,49.2095,75.6615,20.8517,-1,43.2472,60.6433,-1,-1
-1,74.8463,91.6695,43.624,64.6038,-1,-1,-1,-1,-1
-1,-1,-1,-1,107.778,-1,64.8259,-1,24.4036,-1
50.8193,23.7283,45.7114,11.1874,102.795,-1,44.6145,-1,48.2935,42.5868
-1,-1,-1,-1,102.672,-1,-1,36.0114,-1,-1
-1,100.019,28.3095,-1,-1,34.2826,-1,-1,44.8767,-1
36.1518,31.9964,93.4658,98.1313,-1,-1,-1,56.8226,39.71,-1
55.3317,52.0724,47.2292,-1,24.2451,-1,-1,-1,-1,-1
10.6915,82.4055,37.7098,39.0501,-1,91.6566,81.2076,-1,-1,-1
-1,53.0174,47.6595,-1,-1,51.2412,-1,43.2589,-1,-1
28.5444,-1,-1,12.3532,44.3382,-1,55.591,47.3442,-1,44.8475
-1,-1,52.8775,-1,60.0204,-1,-1,-1,-1,74.1527
107.684,-1,13.1261,41.8852,-1,33.2994,-1,-1,44.809,-1
60.55,-1,-1,-1,49.7624,22.0459,42.5727,-1,-1,41.7647
30.7985,-1,-1,-1,43.0203,40.8239,-1,-1,47.8514,97.0881
26.855,-1,-1,-1,108.024,-1,-1,-1,43.1951,85.2913
-1,42.3798,-1,-1,-1,-1,-1,58.1312,-1,-1
-1,-1,-1,42.337,51.5503,48.0756,-1,53.0049,-1,-1
-1,68.4158,-1,47.6883,-1,28.3288,36.8303,59.6957,-1,-1
-1,75.9674,-1,54.5479,30.485,46.1217,69.5907,66.5252,43.637,-1
-1,42.9184,-1,1.9849,-1,-1,-1,-1,46.9629,-1
51.4522,-1,-1,-1,23.1924,-1,-1,39.0937,29.899,70.8096
108.969,-1,-1,-1,86.2489,-1,-1,-1,74.7125,-1
-1,-1,-1,-1,33.7333,-1,31.803,-1,-1,-1
-1,-1,-1,43.7176,-1,-1,-1,44.5356,-1,-1
-1,-1,-1,2.02364,-1,-1,-1,65.7533,74.032,-1
-1,-1,-1,45.734,103.135,54.4174,-1,47.5318,-1,-1
-1,-1,-1,-1,-1,40.3499,31.5964,-1,18.123,61.7781
16.0834,-1,-1,74.1451,-1,20.5995,-1,56.141,41.1776,-1
-1,-1,-1,56.9123,-1,44.6907,48.0659,-1,91.5642,-1
-1,-1,-1,-1,42.4549,-1,-1,41.7786,4.36249,37.8279
39.3417,48.4901,-1,46.8663,33.8072,97.6713,30.3961,57.3721,-1,26.7581
-1,60.4589,-1,-1,103.33,25.7338,-1,42.3097,-1,-1
-1,-1,-1,71.877,48.8369,-1,-1,-1,-1,-1
-1,-1,67.3076,105.563,81.5745,-1,-1,-1,18.4351,-1
-1,-1,61.4093,104.596,-1,-1,71.1069,-1,-1,49.4181
-1,48.4332,-1,65.1314,-1,-1,46.5932,-1,-1,-1
-1,-1,43.9575,-1,-1,71.9051,29.8801,82.0154,-1,45.6969
43.3366,78.7639,-1,-1,35.3723,78.2009,38.695,-1,34.344,-1
43.5905,41.5119,-1,69.8752,21.2982,-1,-1,-1,-1,-1
-1,50.7873,49.9826,46.0343,53.8389,31.7968,41.1853,42.3745,42.4051,-1
-1,-1,46.9181,99.7985,54.1506,-1,48.2307,-1,41.8447,1.23047
26.4788,43.3536,-1,43.8538,43.8677,-1,69.3774,75.2048,-1,-1
92.7524,68.3867,-1,42.0208,41.899,76.4054,46.4484,111.172,-1,35.7819
17.7437,44.7763,50.8434,39.9877,42.5481,-1,47.2468,42.6271,-1,-1
-1,109.198,70.4609,-1,53.1924,-1,61.3592,-1,50.0187,-1
24.736,103.842,-1,-1,-1,64.7704,54.035,60.4116,42.934,63.1331
42.334,39.3397,5.9403,44.6216,-1,54.4139,71.7507,54.508,42.6293,64.8902
112.392,-1,43.6354,60.8016,41.0397,-1,66.5739,69.0615,49.3293,27.297
89.9965,51.54,18.2575,57.2105,59.3912,-1,111.361,46.0734,33.3247,49.3301
27.1098,-1,11.313,81.1825,49.1289,15.2189,10.5362,40.2706,-1,66.9096
12.3961,32.0903,43.1932,18.4361,55.7284,-1,8.29427,59.2596,-1,110.649
40.293,118.867,10.3425,-1,109.166,58.1283,100.545,105.348,75.3201,49.3914
53.4995,71.2414,90.2394,-1,6.69836,45.4498,-1,105.986,34.5066,49.7324
89.1136,-1,101.097,-1,12.9906,121.511,107.169,46.3175,42.6031,52.3762
-1,4.29961,-1,64.3979,55.7896,66.889,-1,53.478,-1,7.5314
-1,-1,-1,99.2225,102.059,-1,-1,-1,76.3338,-1
-1,51.1948,119.098,-1,-1,42.1408,-1,-1,1.44589,-1
82.0263,115.567,37.201,72.0487,-1,-1,-1,92.7185,7.99883,-1
2.80842,-1,2.47243,-1,-1,41.8303,10.2076,121.829,64.3728,59.6014
39.125,-1,-1,-1,-1,-1,-1,-1,59.98,21.4052
-1,102.199,86.7016,-1,-1,18.6646,-1,59.3479,-1,79.3712
-1,57.3892,-1,-1,-1,-1,-1,-1,-1,-1
-1,6.33369,41.4997,-1,96.2006,97.7052,-1,-1,-1,59.7267
-1,-1,29.8035,94.8271,-1,-1,-1,-1,-1,-1
-1,-1,-1,83.0309,-1,123.107,-1,-1,-1,35.956
-1,116.494,-1,122.465,-1,-1,60.8123,49.8295,50.7114,-1
-1,98.2911,43.6386,102.345,92.7178,-1,-1,-1,-1,-1
53.8637,39.0943,-1,21.9465,65.2524,-1,-1,-1,-1,115.528
-1,-1,-1,55.393,-1,-1,-1,115.999,10.06,-1
-1,111.784,-1,-1,-1,59.687,73.3146,-1,-1,10.943
-1,-1,-1,9.51165,-1,-1,61.5669,94.3612,75.0984,71.0433
-1,97.6803,-1,105.273,52.2562,-1,-1,118.771,-1,-1
-1,-1,-1,116.704,59.8744,-1,120.9,-1,-1,94.2004
-1,61.1001,-1,-1,-1,-1,-1,87.0113,-1,-1
-1,35.7729,-1,-1,89.1983,-1,94.185,123.535,-1,-1
-1,76.9567,17.3231,-1,119.595,-1,-1,97.7677,21.9223,-1
-1,-1,2.4668,123.204,107.724,36.6029,4.51074,124.572,109.991,-1
-1,-1,-1,-1,-1,124.018,-1,124.621,-1,-1
-1,60.9994,-1,-1,-1,63.1899,-1,87.012,-1,-1
123.635,1.93922,-1,68.5391,-1,-1,67.785,51.6189,-1,-1
47.1303,7.60018,110.116,115.098,-1,-1,106.74,-1,9.13424,-1
-1,-1,51.5156,-1,-1,-1,-1,-1,100.709,-1
-1,-1,-1,-1,-1,16.4953,49.4368,122.701,-1,95.5089
20.451,-1,64.1026,80.7744,38.5515,55.4407,-1,124.252,-1,-1
60.0699,122.391,-1,123.299,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,57.6477,-1,-1,-1,38.9031
-1,123.575,-1,120.332,-1,56.8066,-1,48.574,-1,114.537
-1,123.368,-1,-1,-1,124.447,-1,109.368,77.4341,76.0307
-1,96.3383,-1,-1,29.4593,43.2251,36.5571,73.6903,84.895,-1
-1,122.263,79.7953,5.65887,121.402,123.434,66.9253,62.0966,-1,64.6117
-1,-1,118.864,101.065,-1,76.8386,75.0427,-1,87.6219,99.441
-1,52.5784,123.616,123.676,-1,121.636,123.585,-1,-1,-1
-1,90.2292,-1,-1,-1,-1,-1,26.6051,-1,-1
61.5933,-1,-1,-1,82.2703,8.29039,91.7942,-1,97.7988,-1
122.989,39.321,119.039,116.543,86.4954,68.8641,-1,-1,-1,-1
99.5968,90.4907,123.99,-1,124.204,82.9802,106.086,43.5378,-1,-1
121.959,101.751,-1,-1,-1,-1,-1,93.153,73.4379,-1
121.216,124.865,-1,-1,-1,-1,43.9526,122.013,-1,-1
88.5247,123.813,48.4969,-1,29.7834,-1,121.967,91.9043,54.291,-1
38.8455,41.3485,-1,90.0973,124.655,24.5618,-1,96.6119,-1,-1
-1,-1,-1,117.391,-1,-1,-1,124.783,-1,-1
61.3387,-1,-1,-1,-1,62.2233,-1,104.277,-1,-1
55.3519,-1,18.8404,-1,37.6475,-1,-1,-1,-1,-1
-1,65.6431,125.393,-1,92.6176,-1,20.3179,-1,-1,-1
-1,123.03,-1,56.309,96.9315,70.7016,6.74367,-1,94.38,-1
124.01,-1,-1,120.561,123.676,18.941,119.774,-1,-1,12.3659
-1,-1,124.392,118.999,123.663,125.221,-1,-1,-1,-1
7.25621,113.22,123.205,-1,124.111,124.503,26.2595,-1,-1,-1
