-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,63.9265,-1,-1,-1
-1,-1,-1,-1,-1,40.6602,-1,-1,-1,-1
-1,-1,-1,11.3748,-1,-1,-1,-1,87.9413,-1
56.9812,-1,6.39178,-1,-1,-1,-1,-1,-1,-1
-1,62.6255,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,54.8417,-1
-1,108.873,-1,-1,-1,-1,-1,-1,-1,-1
43.3547,7.50954,63.0124,-1,-1,31.6212,-1,15.0795,-1,-1
63.769,-1,81.5724,-1,-1,56.0872,91.1084,-1,68.1706,49.6712
67.7417,52.5833,-1,-1,61.0411,45.0559,-1,-1,14.5672,60.9664
-1,51.4582,68.5017,-1,-1,54.7922,-1,64.5948,55.1979,82.4736
45.6424,47.5593,60.428,-1,60.6994,-1,-1,20.371,58.1133,35.1687
-1,66.5384,54.0107,-1,60.5341,-1,46.5068,94.0934,44.9778,48.5132
-1,-1,49.8068,-1,-1,-1,-1,35.0994,42.5296,-1
39.7779,-1,59.3363,-1,39.834,53.7768,92.8343,14.5379,73.9103,-1
-1,-1,-1,-1,49.2252,-1,57.5933,-1,-1,46.9698
-1,-1,-1,-1,-1,-1,46.4191,-1,-1,-1
-1,-1,69.5596,84.4568,-1,-1,21.0917,75.269,43.4412,-1
-1,-1,106.956,-1,-1,-1,-1,-1,-1,-1
22.3661,-1,42.2526,64.3797,-1,74.2555,-1,-1,-1,53.6279
-1,-1,-1,45.7054,-1,-1,-1,-1,-1,-1
76.5354,-1,-1,-1,-1,54.9358,-1,-1,-1,-1
-1,43.0655,-1,-1,-1,35.6987,60.1098,-1,-1,-1
49.2182,39.8302,94.6189,63.1101,-1,98.35,25.943,92.9458,-1,-1
-1,-1,23.5591,15.6292,-1,-1,60.9192,54.0359,32.3567,90.7543
106.486,98.4671,-1,24.9263,-1,-1,59.8663,39.5029,-1,53.709
-1,116.905,-1,-1,-1,-1,-1,-1,-1,-1
10.6353,76.0501,55.8001,45.259,-1,-1,-1,-1,-1,35.357
44.3028,-1,-1,-1,-1,26.0148,61.4948,49.2698,-1,-1
-1,-1,55.634,62.0691,55.881,40.3642,-1,3.89549,-1,-1
-1,-1,3.42318,114.736,78.7696,-1,108.749,-1,-1,74.5346
47.2348,64.4823,-1,106.846,69.5198,66.1057,-1,64.949,-1,23.4276
-1,43.6685,-1,36.9949,-1,96.4593,56.4388,-1,-1,47.9357
64.7959,4.1419,63.9899,64.0201,44.9397,13.5902,118.281,-1,-1,40.2161
77.3447,-1,-1,61.6998,-1,5.08572,14.2446,-1,-1,52.7799
60.5642,-1,44.1253,17.4451,53.3379,55.9602,-1,-1,-1,-1
18.9336,-1,55.8182,17.691,119.3,112.726,-1,-1,-1,-1
-1,-1,44.934,31.9409,18.56,43.0998,-1,-1,-1,-1
40.3467,-1,64.6859,40.5773,-1,-1,55.6898,-1,61.8007,-1
-1,-1,78.7391,64.0264,-1,48.2582,29.9242,92.3757,-1,-1
56.931,-1,3.55409,47.7689,-1,-1,-1,49.4918,-1,-1
72.9259,-1,83.7402,61.0611,47.1835,-1,62.9572,-1,53.1275,82.0826
5.97129,19.6339,85.956,-1,52.2123,-1,79.2169,27.616,69.8164,-1
-1,46.1802,76.2419,12.6646,105.707,83.2167,21.6577,-1,79.6736,-1
-1,51.9274,24.7311,63.5271,61.3277,117.706,50.2213,-1,23.8907,-1
-1,36.6629,115.959,41.6097,49.8421,47.6847,70.3079,88.0392,53.7087,27.3228
-1,-1,117.04,117.285,24.4117,63.9879,-1,64.2928,-1,42.1553
-1,-1,115.122,27.3305,40.1445,117.772,48.7029,119.276,-1,65.7392
-1,-1,21.9132,119.601,30.4857,18.4819,64.0086,-1,67.5204,-1
-1,-1,50.5623,-1,-1,66.367,43.2892,22.6447,-1,61.6757
55.4025,-1,40.2218,36.8063,99.4523,30.4764,42.2081,-1,-1,74.915
-1,-1,53.342,117.711,63.6026,60.8464,40.0737,72.4549,-1,-1
23.0973,-1,35.363,86.8025,-1,43.4505,24.2111,41.6989,-1,-1
64.6879,-1,8.61312,-1,119.464,96.4977,25.2582,-1,-1,-1
106.056,107.173,-1,29.5882,107.717,25.8383,43.242,-1,-1,39.1197
-1,99.328,65.3358,-1,43.1136,27.7524,-1,-1,-1,68.5462
15.722,28.3665,73.7496,54.9349,-1,117.71,63.9931,31.3343,86.9916,-1
-1,71.3709,53.3623,-1,-1,111.759,27.7515,-1,78.301,-1
46.2172,-1,-1,41.7409,73.2362,30.4408,77.5664,-1,117.259,55.1851
80.4934,44.8906,22.1754,-1,47.0014,116.105,-1,41.4076,51.0321,94.4593
119.838,-1,-1,-1,41.4678,117.511,-1,24.2768,56.2768,-1
103.279,73.5735,17.9521,-1,104.269,-1,-1,59.718,-1,62.2843
-1,91.583,65.0467,-1,60.7053,-1,105.782,-1,-1,-1
54.5642,119.513,87.0692,-1,-1,32.4488,-1,47.6259,82.5125,-1
