-1,-1,-1,-1,-1,-1,-1,45.3465,-1,-1
77.0182,-1,4.9484,-1,43.3086,52.4263,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,48.3256,-1,-1
85.0601,-1,-1,-1,-1,34.8139,-1,-1,112.815,-1
-1,-1,-1,-1,-1,22.6997,57.1026,-1,42.5581,-1
-1,92.2726,-1,58.116,-1,-1,-1,-1,24.9961,-1
65.0572,-1,58.1706,-1,-1,-1,-1,86.8356,-1,-1
60.9543,113.532,-1,-1,-1,-1,-1,-1,-1,44.7022
-1,-1,-1,-1,79.2698,-1,-1,-1,-1,104.698
-1,106.315,-1,-1,-1,-1,-1,-1,65.3545,-1
-1,-1,81.4988,-1,-1,-1,-1,-1,-1,57.6601
48.524,90.2694,60.3989,-1,78.671,58.3019,-1,-1,-1,69.859
63.9775,35.2135,15.8594,-1,-1,-1,-1,64.3978,-1,-1
-1,-1,89.3863,-1,115.421,84.1141,-1,47.8186,-1,-1
114.39,-1,-1,62.5428,-1,26.1125,25.4963,-1,-1,40.2533
-1,40.7559,-1,55.0931,-1,52.8703,-1,-1,-1,-1
-1,-1,-1,-1,88.3425,-1,-1,-1,-1,-1
-1,43.5609,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,39.6366,-1,94.033,-1,-1
-1,-1,-1,-1,-1,-1,-1,51.8575,-1,39.7503
69.2273,-1,30.5826,-1,-1,-1,-1,51.2809,-1,-1
57.0758,78.8416,41.2383,-1,-1,-1,-1,-1,-1,26.9035
-1,-1,-1,-1,-1,-1,70.67,60.3148,-1,-1
42.9504,-1,-1,-1,-1,-1,46.4711,19.4233,110.628,-1
42.4738,-1,-1,-1,-1,85.7968,-1,-1,-1,32.1914
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,37.9043,42.5959,63.7825,-1,-1,-1,7.00534,45.2346,-1
48.5358,-1,-1,-1,40.7239,-1,-1,-1,-1,-1
-1,-1,-1,97.2267,-1,-1,-1,-1,-1,60.2524
-1,-1,-1,-1,-1,57.1522,-1,-1,-1,-1
-1,40.5563,-1,23.1951,-1,57.1562,-1,-1,-1,-1
78.6629,50.9661,-1,-1,116.077,-1,51.0636,100.924,-1,43.5016
-1,-1,57.9312,55.5534,52.4315,-1,-1,-1,-1,70.9528
-1,112.563,27.0442,112.594,-1,-1,-1,-1,-1,-1
-1,-1,-1,100.538,-1,41.8529,49.7061,51.5923,-1,-1
104.963,39.8539,-1,66.5612,42.5659,90.3845,81.2284,-1,54.5544,-1
-1,-1,2.61385,-1,44.7096,45.1057,-1,-1,-1,7.72191
-1,-1,26.6117,-1,-1,58.7656,-1,-1,-1,-1
-1,-1,-1,-1,-1,58.967,49.8355,-1,-1,-1
38.288,49.5756,-1,-1,-1,-1,-1,-1,-1,-1
44.3972,-1,-1,32.6388,41.1911,45.8303,45.4853,30.8225,10.8588,-1
32.3263,40.3992,26.8964,-1,-1,-1,93.8173,39.8036,9.48345,-1
11.3178,-1,-1,-1,-1,-1,-1,50.2444,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,47.5088,-1
81.972,31.0431,-1,-1,41.4619,-1,-1,42.8813,45.8557,115.601
44.548,-1,75.1615,16.4682,-1,39.7192,-1,-1,-1,-1
-1,53.6899,-1,-1,115.897,-1,-1,103.369,-1,-1
-1,-1,40.0052,42.4757,42.8442,-1,-1,86.6411,-1,-1
32.0901,-1,-1,-1,45.5919,-1,-1,-1,69.6502,54.3562
-1,-1,-1,-1,-1,-1,-1,-1,-1,73.6907
47.6699,-1,-1,-1,-1,-1,-1,-1,-1,45.7174
68.0799,-1,-1,18.4932,-1,39.9825,51.235,59.7529,92.7941,81.9861
-1,-1,-1,11.4164,36.3271,57.523,-1,56.5885,-1,69.4057
-1,46.2378,-1,63.7074,-1,80.5847,55.6335,68.8632,57.1448,83.8003
115.875,-1,-1,-1,93.1151,-1,49.6331,-1,86.3261,-1
89.4454,-1,-1,-1,44.4771,44.6369,-1,61.2812,114.407,45.7889
-1,-1,-1,-1,-1,-1,-1,113.956,-1,44.9991
57.1026,-1,-1,-1,-1,-1,-1,68.1977,-1,-1
41.7843,-1,-1,12.1646,-1,-1,-1,45.4454,-1,-1
59.4029,15.7246,-1,75.3987,24.4709,-1,-1,115.02,-1,39.521
-1,42.5297,44.1328,-1,-1,45.084,-1,-1,-1,-1
-1,-1,-1,54.5404,47.7268,-1,56.9931,-1,24.715,59.4795
50.7799,-1,-1,-1,-1,-1,-1,40.3072,-1,-1
-1,40.3676,-1,-1,45.0509,-1,-1,67.4735,44.0964,115.655
71.7699,-1,-1,50.3612,41.7604,50.5542,40.8791,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,62.9174,80.0406
-1,-1,-1,-1,-1,53.7352,52.5714,62.4053,-1,-1
75.4367,-1,-1,-1,-1,63.9587,-1,-1,-1,64.2655
-1,-1,78.1873,44.6347,-1,-1,-1,-1,104.415,52.9177
-1,-1,48.1515,48.3953,-1,-1,55.768,-1,-1,-1
42.4594,43.5516,49.9667,42.1537,66.0163,56.1734,-1,-1,-1,-1
-1,-1,107.765,-1,-1,-1,-1,-1,49.4682,-1
-1,56.9358,-1,-1,-1,-1,-1,53.0201,40.4701,-1
-1,37.2403,-1,-1,-1,58.1185,43.5427,-1,-1,41.1464
99.3772,51.5982,42.6722,-1,-1,40.8823,37.4837,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3.52697,-1,-1,-1,-1,38.8918,-1,-1,-1,51.5009
-1,103.914,-1,-1,-1,34.3604,40.0728,-1,-1,-1
-1,105.966,-1,57.0269,72.4256,68.6184,58.7741,90.3009,51.2076,75.4236
-1,87.2995,15.7906,45.8761,-1,114.547,105.107,-1,-1,-1
74.6674,43.5287,-1,-1,52.0063,102.139,-1,60.597,-1,-1
-1,-1,14.388,-1,-1,53.2264,41.5321,44.6291,-1,84.9531
86.5926,46.855,76.9468,-1,-1,42.9282,-1,-1,110.678,-1
115.825,-1,-1,-1,69.0115,-1,71.081,-1,-1,-1
-1,-1,-1,-1,115.498,-1,-1,-1,58.1517,-1
87.1263,-1,-1,-1,93.4067,-1,68.4962,29.9568,-1,-1
-1,59.5681,80.9331,-1,67.6644,71.4804,-1,96.861,45.5631,19.9675
-1,109.636,116.062,-1,-1,-1,115.391,-1,26.3932,79.9753
