-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,45.4246,-1,-1,-1,-1,-1,-1,-1
-1,-1,54.8961,-1,41.4668,-1,-1,-1,42.9166,-1
-1,-1,-1,-1,-1,-1,-1,-1,59.7645,-1
64.9424,-1,-1,-1,-1,-1,-1,-1,-1,-1
19.37,-1,-1,-1,-1,-1,-1,10.553,-1,-1
39.6085,-1,-1,-1,-1,-1,-1,-1,-1,64.5115
-1,-1,-1,-1,77.1531,-1,-1,-1,-1,-1
-1,-1,22.124,-1,-1,-1,-1,69.9929,-1,-1
-1,33.8404,-1,61.7345,55.2776,-1,-1,-1,56.464,-1
-1,61.0251,-1,-1,-1,-1,-1,36.9695,-1,-1
-1,-1,-1,-1,83.6169,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,53.3085,-1,16.4294,15.1695,-1
-1,8.06961,39.6016,40.3919,66.7463,-1,-1,26.4595,-1,33.6218
16.382,-1,-1,-1,-1,-1,-1,13.1863,-1,-1
-1,-1,-1,-1,-1,29.6694,-1,-1,-1,-1
10.1354,74.2325,-1,56.2861,-1,39.6027,-1,-1,-1,-1
-1,63.4165,-1,-1,56.6579,-1,-1,-1,-1,-1
-1,-1,47.5845,-1,-1,-1,31.93,56.9081,66.3887,50.3873
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,30.5159,-1,-1,-1,-1,-1,69.1983,34.8772,35.7385
-1,-1,37.1971,-1,-1,-1,-1,-1,61.3675,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
72.2036,-1,48.698,-1,6.78725,-1,-1,-1,-1,19.3859
-1,-1,-1,56.1341,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,69.9527,-1,-1,-1,38.0331,-1
-1,-1,-1,-1,79.0598,-1,-1,-1,-1,44.6831
-1,-1,-1,-1,-1,-1,-1,49.1389,-1,80.4178
-1,-1,-1,-1,-1,8.81304,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,61.1443,-1,44.7214,-1
-1,48.938,-1,-1,-1,-1,-1,-1,-1,-1
62.3337,-1,67.5084,28.0474,-1,-1,-1,61.0846,-1,-1
-1,-1,-1,-1,83.3644,-1,-1,-1,-1,-1
-1,-1,-1,-1,43.3278,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,11.3089,16.2455,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,32.6792,-1,55.96,63.217,-1,-1,-1
-1,-1,-1,55.189,-1,-1,-1,-1,-1,-1
-1,-1,-1,83.5713,-1,-1,-1,-1,-1,-1
-1,-1,28.7791,78.0609,-1,43.8075,2.37932,-1,-1,83.0067
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,52.7154,-1,-1,24.3353,-1,-1,-1,-1,-1
-1,73.5069,-1,-1,-1,32.5568,-1,-1,72.2847,-1
-1,-1,-1,56.0415,-1,55.0594,-1,-1,-1,-1
55.7681,36.0088,68.5687,86.4354,-1,61.6727,-1,49.1595,66.434,-1
-1,-1,-1,38.9245,-1,68.8924,-1,-1,-1,-1
-1,26.0313,57.5501,47.8841,-1,14.1329,-1,81.7965,-1,-1
-1,-1,-1,-1,-1,-1,-1,65.5569,-1,-1
42.34,-1,-1,55.7307,-1,-1,-1,-1,-1,-1
-1,-1,-1,5.07278,-1,69.1027,-1,-1,61.5903,-1
8.68559,-1,-1,-1,-1,60.1159,56.8527,52.6294,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,34.3745,-1,11.3049,-1,52.665,-1,-1,-1
79.932,44.4543,52.7753,27.5872,54.0697,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,57.5205,-1,-1,-1
-1,-1,52.6563,-1,-1,-1,-1,-1,-1,7.51083
-1,11.9404,-1,38.1593,-1,57.3925,53.2083,42.3156,-1,-1
-1,-1,32.3704,-1,-1,-1,-1,-1,27.7751,36.5934
-1,-1,28.7719,-1,-1,-1,28.8454,49.2891,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,89.2598,-1,-1,-1,-1,-1,-1
-1,-1,-1,42.3347,-1,-1,28.9456,-1,-1,-1
-1,-1,-1,3.28093,-1,-1,27.621,-1,51.3072,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,89.5743,-1
42.1232,-1,39.51,16.2869,-1,35.1345,-1,-1,65.4665,-1
41.5494,70.119,88.7129,39.0141,-1,86.7891,46.3011,-1,-1,-1
-1,-1,-1,55.6117,15.0763,-1,72.7423,59.0069,-1,-1
58.8995,-1,-1,-1,51.3748,53.1901,71.3163,43.3941,24.4463,-1
-1,-1,-1,-1,-1,-1,29.0211,41.8983,-1,36.8003
-1,-1,27.9198,-1,-1,28.5624,81.4095,47.1099,-1,-1
-1,-1,-1,-1,-1,77.3012,-1,39.5835,49.7209,43.431
-1,18.0527,-1,-1,-1,-1,10.7688,-1,64.4337,-1
-1,44.9664,-1,45.3645,-1,41.1677,-1,66.716,-1,-1
-1,88.6532,-1,-1,-1,-1,-1,-1,-1,-1
36.7239,-1,33.9957,61.2169,-1,-1,-1,74.4574,-1,-1
20.5229,15.3939,48.2643,73.7389,-1,14.2448,6.58566,-1,-1,-1
9.45126,48.9667,42.4635,29.8995,-1,-1,81.2934,-1,70.494,19.7087
54.5379,-1,-1,-1,29.4375,-1,73.3483,-1,30.9893,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,89.6406,-1,-1
-1,-1,-1,-1,74.1974,86.2896,-1,-1,68.5387,33.0873
61.3759,60.2552,-1,-1,-1,87.7665,-1,89.16,38.6989,48.4778
-1,76.3608,40.4754,17.9699,-1,39.2472,34.1209,86.7668,27.8195,-1
27.6198,-1,48.5456,-1,66.7268,77.5392,63.0122,39.0538,42.4507,-1
71.451,67.6489,-1,46.292,-1,39.1834,39.1469,-1,-1,-1
37.857,-1,34.7816,81.1672,-1,37.0756,-1,3.55265,86.412,-1
-1,48.0543,-1,-1,35.8206,-1,-1,-1,79.254,-1
-1,-1,-1,-1,77.7628,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,75.6518,-1
-1,-1,39.4505,-1,73.9185,39.0526,-1,-1,-1,-1
41.0011,7.76208,66.8242,-1,89.1564,-1,44.9008,49.7457,-1,61.5276
60.3899,-1,19.6075,-1,-1,-1,79.0255,88.2827,88.2986,46.8554
-1,-1,-1,-1,-1,-1,89.5412,-1,-1,-1
-1,-1,-1,74.5886,-1,-1,-1,-1,-1,-1
-1,43.2164,-1,32.3409,60.354,-1,-1,-1,-1,-1
62.3097,-1,-1,-1,-1,-1,-1,-1,-1,25.2824
39.6829,-1,-1,-1,36.6955,-1,19.2166,-1,-1,99.9575
-1,-1,-1,96.566,-1,-1,-1,-1,-1,-1
-1,-1,18.299,56.452,-1,-1,75.2124,-1,-1,-1
-1,38.9517,-1,101.757,44.2852,-1,99.1626,43.934,-1,54.1136
-1,-1,-1,100.559,-1,-1,53.4225,-1,41.181,-1
55.7758,-1,47.5894,101.841,66.9767,-1,67.8383,-1,104.363,25.1546
-1,-1,-1,-1,66.9278,-1,104.976,-1,86.2122,-1
-1,50.7456,84.6454,-1,-1,-1,-1,87.9496,-1,23.2665
-1,89.0023,60.3618,62.5484,-1,83.8322,100.778,42.2606,76.7142,88.0848
-1,-1,72.807,85.5004,105.229,-1,96.1811,102.158,38.0947,20.799
47.7082,-1,78.9517,-1,81.545,-1,75.286,-1,100.157,-1
105.807,36.2216,-1,71.6715,88.0181,-1,105.536,-1,-1,-1
101.648,78.7301,57.4883,105.878,69.473,104.29,-1,-1,55.4653,-1
-1,67.0613,-1,105.012,57.1587,-1,-1,54.9359,103.408,105.727
47.7963,104.031,-1,102.673,-1,-1,55.4406,-1,85.5325,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,82.9724
-1,58.6253,4.33183,-1,32.8918,58.8037,-1,-1,-1,91.4723
57.3315,57.2253,93.8887,94.0549,87.7954,77.8809,44.594,100.176,103.84,-1
-1,-1,-1,105.151,62.7768,-1,-1,97.4422,-1,80.0811
78.6957,56.0052,-1,83.7014,-1,94.8221,-1,-1,47.924,-1
-1,74.6072,56.14,67.3107,77.4159,91.2953,97.4781,-1,-1,55.4532
53.4552,105.605,101.187,-1,-1,86.9826,104.415,-1,8.77545,104.207
53.926,85.3267,69.6496,105.951,87.3501,-1,103.275,-1,78.3795,103.89
-1,105.948,95.2347,40.0084,-1,96.3335,-1,-1,-1,105.849
-1,103.548,-1,100.435,105.332,-1,-1,6.81048,103.978,-1
-1,-1,-1,44.5058,41.9577,-1,85.7023,-1,63.3463,85.3394
81.8111,85.1125,-1,62.5553,105.914,52.74,104.737,-1,-1,-1
74.5862,103.354,-1,-1,-1,-1,105.799,56.6533,57.3802,104.287
87.4536,-1,61.1332,88.6071,-1,86.0017,-1,103.674,-1,-1
-1,85.882,-1,-1,102.652,105.923,83.4591,-1,65.8273,53.2801
58.0217,95.0174,105.717,-1,105.936,-1,-1,83.5465,96.9699,68.1901
58.8657,100.478,92.9936,45.2731,-1,-1,58.5462,47.1717,-1,95.9443
-1,-1,78.1831,-1,57.8878,-1,-1,-1,41.6269,104.416
86.987,59.2826,-1,40.7513,-1,-1,-1,-1,66.0724,104.565
-1,101.336,-1,-1,65.1517,-1,-1,-1,-1,-1
-1,101.09,-1,-1,86.4657,77.2073,-1,-1,-1,47.1648
53.8809,97.0767,-1,-1,85.4677,102.3,61.7439,-1,-1,-1
-1,-1,-1,-1,70.9937,-1,-1,90.5829,-1,52.9464
-1,22.4733,5.83867,-1,100.959,57.7264,-1,-1,-1,-1
44.3405,103.965,-1,40.7514,-1,100.826,-1,104.909,94.9083,105.666
-1,105.49,-1,-1,-1,67.7184,59.9911,103.153,-1,104.812
91.6887,90.0617,57.6311,99.4423,-1,90.7916,-1,-1,-1,75.0915
104.183,-1,-1,-1,-1,-1,-1,-1,71.5368,98.925
104.829,65.7687,102.269,89.4132,-1,91.9062,102.031,41.0947,-1,84.111
-1,-1,105.941,104.211,37.0176,105.946,-1,-1,73.3952,105.375
66.0681,104.569,-1,-1,105.976,-1,-1,85.2985,91.8417,-1
16.7886,-1,103.441,-1,105.977,-1,-1,102.096,105.782,104.843
-1,-1,-1,-1,99.567,-1,-1,-1,104.937,-1
-1,95.9352,102.529,-1,-1,-1,100.609,-1,105.962,105.963
105.714,105.856,105.976,-1,-1,-1,-1,99.3914,-1,-1
105.896,-1,96.6536,-1,58.3346,64.8106,97.3443,105.318,69.6205,-1
105.867,105.239,-1,104.651,-1,106.484,101.952,105.62,-1,-1
-1,106.591,103.58,105.713,106.66,106.581,106.493,106.472,106.548,98.203
