-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.832,-1,40.8522,33.2943,-1,-1,-1
46.7511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,72.6138,-1,-1,-1,-1,-1,-1,-1,-1,-1,85.9755,-1,-1,-1,-1,80.9629,-1
-1,-1,-1,56.5415,-1,-1,-1,-1,58.5676,-1,-1,-1,-1,5.00194,-1,43.9033,-1,-1,-1,-1
44.6962,-1,-1,-1,-1,44.5782,25.5411,-1,37.7781,-1,44.5643,-1,-1,-1,-1,-1,-1,-1,-1,20.7459
-1,-1,-1,-1,-1,45.0091,-1,-1,-1,60.5643,14.2393,-1,56.9334,-1,-1,-1,-1,11.9587,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94.1887,-1,-1,-1,-1,-1,-1
-1,-1,-1,23.5513,91.6331,10.4858,-1,-1,-1,19.9684,15.0316,-1,-1,-1,-1,-1,-1,55.5699,12.7349,84.0141
-1,81.9948,51.1587,-1,53.8341,87.0039,18.1712,60.3304,39.0527,-1,-1,-1,-1,-1,-1,-1,64.2612,-1,-1,-1
-1,-1,85.8978,-1,-1,87.8026,-1,45.3538,-1,65.5216,45.5801,56.9467,-1,-1,45.6454,43.1093,-1,-1,-1,-1
-1,105.032,67.9051,-1,-1,-1,-1,14.0641,-1,51.0741,-1,38.3152,-1,-1,-1,-1,78.5039,-1,-1,-1
-1,31.9788,50.0475,-1,-1,87.1036,-1,56.4014,27.3306,84.6344,73.826,52.7316,-1,-1,-1,-1,93.3967,-1,-1,-1
36.2465,-1,58.4553,-1,-1,26.1607,-1,60.4808,98.6964,68.3574,-1,57.1801,-1,101.585,-1,-1,58.6128,58.635,-1,-1
61.3126,-1,17.7541,-1,68.4861,-1,-1,45.442,64.7727,16.688,-1,71.4445,-1,46.2964,-1,-1,-1,44.626,63.2061,-1
73.8886,83.4112,101.885,59.9331,65.4859,72.1329,-1,64.8315,46.3273,-1,34.4016,90.8507,62.9564,65.637,80.8937,-1,7.21385,-1,-1,65.2475
105.271,39.8898,69.8949,64.8151,53.7323,-1,4.21991,71.4648,74.2968,-1,-1,87.8606,71.7905,71.9705,53.4168,-1,113.584,40.2193,105.238,21.7988
63.7878,-1,-1,-1,-1,49.4393,113.488,23.8414,-1,-1,61.8438,71.7106,-1,-1,-1,27.5003,48.2507,-1,55.9573,56.3343
-1,-1,23.7808,-1,-1,67.1564,36.2223,38.924,83.4551,70.9636,71.159,48.0369,45.8959,-1,-1,-1,-1,-1,60.4508,49.4999
47.9943,108.664,57.368,17.4033,-1,-1,75.9999,-1,57.0896,-1,-1,-1,-1,-1,-1,-1,54.2906,-1,52.7312,44.893
-1,-1,-1,-1,-1,-1,-1,-1,64.1786,-1,-1,59.2645,-1,-1,-1,49.6951,-1,46.7355,-1,62.579
-1,-1,46.1927,115.853,7.01997,52.0583,-1,-1,41.0699,-1,83.2467,-1,59.1438,63.9973,-1,-1,56.7657,51.5889,94.0679,119.264
35.6532,-1,85.5718,-1,56.7224,31.2878,-1,-1,37.3804,16.8933,27.2101,-1,84.4522,11.9657,116.538,14.2244,-1,40.9024,58.8053,-1
111.225,65.2437,-1,-1,-1,59.6011,-1,37.0301,-1,23.0448,9.87495,-1,-1,87.1089,-1,-1,97.3087,110.45,74.1414,-1
51.2107,-1,44.0028,85.0702,43.9162,-1,-1,66.7475,-1,57.8072,-1,59.7351,-1,109.738,81.5891,43.7413,46.4509,48.77,102.605,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,109.996,-1,-1,-1,-1
48.471,103.684,65.7262,-1,-1,-1,-1,54.7709,90.1854,-1,20.5399,92.6666,27.5328,-1,-1,113.968,-1,-1,16.4248,54.9962
-1,30.6897,-1,-1,-1,-1,-1,53.9186,-1,-1,17.9733,55.52,-1,88.4995,63.2909,82.3486,79.719,101.098,-1,-1
-1,-1,18.9606,50.1179,-1,62.9877,51.9578,-1,-1,52.2415,41.3424,107.594,-1,40.5233,38.7611,64.7809,45.4273,55.6801,-1,-1
-1,-1,111.827,76.1958,53.8983,69.5141,48.1146,45.9441,-1,88.2119,98.7952,46.4425,-1,74.3536,46.4814,48.5074,76.594,-1,62.0363,-1
16.0608,37.9065,-1,75.9516,-1,-1,52.5547,43.7144,-1,-1,63.9403,62.0753,55.0849,44.2017,-1,69.1405,-1,118.452,59.789,-1
55.3559,41.6898,-1,40.1351,-1,-1,-1,-1,-1,-1,108.611,-1,39.0883,-1,29.4814,-1,-1,55.7251,-1,89.4135
-1,45.2235,108.198,43.7275,-1,-1,55.0118,48.9931,-1,-1,-1,3.18324,-1,-1,40.7255,-1,-1,34.5298,48.7227,-1
-1,-1,52.5507,-1,-1,91.701,-1,64.1132,-1,-1,43.6348,93.0447,53.5077,-1,48.0178,-1,-1,47.3671,98.7325,-1
59.4068,28.4361,95.843,-1,-1,18.0735,-1,-1,76.9412,-1,-1,64.3984,106.402,92.9784,-1,-1,60.787,-1,73.1827,-1
-1,117.369,-1,-1,84.204,-1,37.4161,-1,-1,13.713,-1,88.1348,-1,84.9744,-1,56.0935,-1,20.4626,73.5974,-1
118.934,79.525,112.175,-1,16.3902,56.5427,-1,-1,118.638,33.5857,58.3253,36.1646,85.0525,-1,88.8001,-1,30.5746,22.4496,85.5957,20.1047
49.3943,54.5532,-1,69.9189,39.1955,91.9592,-1,64.372,35.3618,4.4682,117.909,88.0401,55.7728,53.1834,40.6148,118.728,-1,-1,-1,70.8542
39.3837,71.7552,-1,47.8993,-1,17.1209,44.9832,-1,-1,75.0043,42.9835,-1,66.245,30.3301,-1,-1,108.556,44.352,58.0982,30.7777
-1,-1,52.5851,109.048,-1,110.215,68.5471,51.9196,-1,-1,51.9535,43.1489,-1,17.2752,-1,-1,58.2407,-1,79.039,-1
25.0294,-1,-1,101.727,-1,9.22053,15.7687,-1,52.515,32.1026,34.9743,-1,46.5246,94.902,80.5021,-1,-1,50.7622,84.7103,-1
-1,8.10182,-1,-1,-1,43.6272,-1,-1,-1,-1,-1,-1,-1,118.443,58.5635,59.4355,59.5105,51.6057,54.1671,-1
-1,91.7432,57.7455,43.4878,50.2432,-1,45.4896,108.169,57.6416,60.0457,105.329,-1,63.404,118.087,100.608,100.386,50.3826,111.825,-1,-1
-1,5.08217,34.9243,39.4937,-1,88.6896,30.1241,-1,55.2137,16.6685,-1,49.4519,52.815,-1,-1,-1,71.4158,30.242,61.6834,14.1459
58.9669,46.5611,-1,-1,-1,-1,-1,-1,48.533,60.3712,-1,99.6233,-1,35.9667,-1,49.4703,-1,-1,44.8441,-1
45.5046,62.907,31.9444,-1,112.149,55.7926,-1,-1,60.93,-1,-1,-1,-1,99.1021,-1,53.0047,-1,26.8671,33.1726,43.8405
-1,57.4118,-1,77.7811,57.9061,68.3972,46.3864,-1,29.7284,59.5423,23.9128,61.0801,-1,49.2199,103.651,-1,71.6463,-1,-1,-1
70.0904,8.84668,-1,78.2804,83.9687,33.3742,109.964,-1,45.6239,83.2534,-1,54.4945,60.0868,51.8011,-1,-1,83.3608,32.4238,61.2391,25.5268
82.258,44.4295,-1,56.4065,56.2967,40.9922,-1,-1,49.8186,115.576,85.6338,77.3189,55.4454,59.8518,82.2229,97.2259,105.72,102.004,61.6144,61.8421
-1,112.717,25.5663,17.9805,55.7872,69.6869,-1,-1,-1,67.148,-1,53.9149,43.2062,58.8973,48.4566,28.6344,77.6334,71.0659,49.2807,56.6286
-1,-1,56.3867,57.7918,16.2744,-1,74.1255,59.3683,42.7085,50.8055,67.909,62.6861,-1,-1,-1,107.256,44.5715,-1,72.3291,63.3487
-1,58.0284,68.696,-1,-1,-1,-1,-1,57.8355,21.3088,90.957,66.649,-1,-1,39.4864,11.6816,9.60126,63.5768,63.7157,61.3697
42.0496,-1,19.998,58.5508,61.7479,79.7731,-1,53.2187,37.8198,67.4209,86.1608,3.63755,65.0756,-1,73.3284,-1,71.9317,24.3245,48.2564,46.0609
63.9061,54.3603,49.7954,65.3911,-1,-1,-1,-1,-1,58.9836,-1,-1,95.3006,68.7949,71.6053,63.2843,65.5294,-1,76.3762,37.3181
-1,25.63,-1,31.6644,61.7001,65.0291,38.4031,70.4231,89.4882,-1,-1,55.884,91.4432,25.6226,62.5106,33.2034,60.967,-1,58.8434,-1
-1,58.702,-1,42.127,-1,76.647,39.2098,50.0664,25.4443,43.0227,-1,-1,109.405,-1,-1,58.6337,-1,-1,10.3291,30.6423
74.088,46.7611,53.7102,92.1969,-1,-1,106.348,-1,47.0579,99.4562,-1,-1,95.5275,106.733,-1,71.854,-1,57.7721,9.75616,45.8689
63.3328,-1,46.2415,74.9177,-1,50.5342,47.3018,-1,89.8829,-1,66,42.9138,26.687,5.76458,58.6347,24.1392,-1,-1,15.374,-1
64.9471,-1,54.407,20.0471,23.1059,-1,46.3683,-1,109.851,28.2065,-1,104.251,63.4984,-1,-1,34.5121,88.4195,61.5457,61.9876,95.6712
78.2673,-1,58.6216,45.1125,-1,21.4988,-1,89.944,59.7977,120.891,61.5283,92.845,-1,52.7213,-1,-1,42.3266,-1,-1,-1
71.3582,-1,-1,-1,-1,-1,42.5615,47.5166,113.449,-1,56.2393,112.608,80.4544,27.567,6.00004,74.4571,72.8873,-1,-1,56.6569
-1,-1,62.5657,2.89319,-1,-1,-1,-1,55.3372,-1,-1,-1,-1,15.5044,67.2891,20.5124,-1,-1,-1,68.2312
-1,43.642,5.5566,22.7688,-1,-1,87.3419,62.3952,70.9836,-1,59.938,102.142,119.594,21.8561,-1,81.4933,55.8864,62.7029,-1,61.6638
-1,-1,63.625,18.3711,-1,59.834,56.4148,-1,86.8831,-1,120.645,-1,-1,66.9627,-1,47.1279,119.16,106.534,64.1158,75.2898
59.31,74.4982,-1,-1,62.4866,-1,63.752,-1,88.7791,110.429,92.1139,-1,113.208,-1,-1,47.9542,118.431,-1,3.13899,71.5778
76.2459,2.50343,59.8238,54.7897,85.737,-1,65.3387,48.454,-1,-1,54.3065,66.5277,-1,-1,107.719,56.069,117.377,42.9698,34.1021,105.645
-1,-1,62.1729,55.2278,59.6984,-1,-1,52.5163,-1,62.8962,59.725,44.693,18.0898,-1,-1,33.3484,-1,-1,57.0714,59.1004
94.3009,-1,86.0404,51.9748,58.7194,51.5528,40.5753,-1,-1,-1,63.6462,26.5713,-1,-1,52.2082,-1,-1,-1,-1,-1
59.6371,-1,-1,96.1698,61.1784,120.601,-1,-1,-1,64.7477,78.3573,44.0704,81.1662,34.7627,-1,-1,55.2632,85.9858,43.6602,116.104
57.7507,67.266,14.2938,-1,104.191,12.846,49.9068,75.3455,55.3088,5.99827,-1,105.71,72.6449,61.9979,-1,119.07,55.3965,-1,100.967,117.444
-1,67.7258,47.4219,79.6737,107.139,54.9051,78.0897,-1,74.8878,96.623,64.8224,72.1949,56.1615,-1,4.4999,112.793,85.6841,-1,-1,58.2249
-1,97.1635,19.3132,45.3933,-1,62.8296,-1,81.6784,-1,116.525,-1,45.3141,41.8012,16.3074,25.5207,53.9523,96.2609,48.2577,37.247,46.58
58.8454,54.6368,-1,112.733,72.9628,-1,-1,108.357,46.9963,-1,-1,-1,-1,44.4572,111.213,35.8288,51.3249,-1,-1,51.4891
56.8721,17.4863,77.8102,-1,40.8759,-1,-1,62.8176,7.25009,44.6317,117.387,112.78,65.9038,48.8919,-1,-1,26.7373,38.2632,60.941,-1
115.65,36.8325,-1,59.6564,55.9187,-1,61.0791,-1,52.642,68.9814,-1,29.1925,41.5866,53.4643,60.2516,87.3743,107.043,-1,59.316,-1
112.748,53.4853,-1,110.26,-1,-1,89.9845,-1,9.05202,-1,81.1505,-1,55.3071,38.4716,117.704,-1,-1,54.2036,64.8582,91.7704
120.382,119.405,-1,-1,118.51,-1,-1,60.9085,90.3248,48.737,95.4717,26.6501,120.862,40.0481,37.6027,-1,-1,62.7308,-1,20.2699
116.191,-1,120.598,-1,-1,50.3339,-1,48.8464,89.1979,58.1137,90.0679,63.5531,-1,52.8144,114.001,58.556,32.2991,-1,89.182,116.749
-1,-1,108.08,-1,44.1384,91.7951,59.1315,104.817,92.046,63.0005,101.65,-1,41.9729,112.931,52.4724,-1,-1,64.2006,84.2563,-1
-1,-1,-1,100.572,100.245,11.6948,118.702,-1,14.3231,117.221,36.3345,-1,52.2744,-1,119.054,-1,44.411,57.5488,-1,-1
-1,-1,23.2733,111.518,-1,95.3332,111.915,-1,22.2204,80.013,71.4055,104.681,-1,66.1081,45.5987,56.3838,89.4305,-1,120.327,84.3011
65.1681,-1,-1,-1,-1,39.953,47.9351,42.4813,93.8044,-1,-1,-1,-1,48.3921,73.7177,-1,35.635,-1,-1,117.032
-1,52.3811,109.193,116.833,26.15,67.0598,-1,-1,62.34,14.8786,-1,88.3307,52.4205,69.913,-1,-1,-1,-1,42.6333,-1
24.7352,14.0619,100.907,112.703,9.70409,-1,116.195,54.3253,55.4879,58.9298,44.6304,75.7046,101.965,109.094,-1,92.9762,-1,-1,98.251,45.4136
-1,-1,67.1436,53.0802,71.5974,60.4578,-1,-1,26.2627,17.4361,110.46,77.014,-1,69.6787,-1,63.3637,55.2187,-1,119.208,-1
-1,-1,-1,87.3989,-1,114.251,-1,59.2013,62.6082,112.164,-1,118.458,39.5068,119.648,-1,49.584,-1,53.7098,49.9058,107.082
-1,-1,-1,115.981,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22.2087,117.067,-1,52.4931,-1,97.9877,30.2276,87.9685,111.812,54.4062,61.2056,118.989,61.151,110.875,37.4747,98.8109,-1,112.572,-1,-1
81.7629,25.5536,49.0357,49.9075,-1,73.3136,42.6426,-1,109.271,14.5295,105.659,100.56,54.6693,-1,-1,-1,-1,-1,71.1404,-1
114.284,104.236,59.3778,117.298,54.8152,-1,-1,52.0725,-1,108.144,85.3844,111.758,-1,-1,-1,63.5796,-1,52.5948,-1,-1
78.1612,66.6929,51.2921,113.546,13.6905,111.149,-1,-1,43.7513,-1,113.755,-1,33.073,-1,-1,115.742,-1,35.4464,44.3405,81.3397
118.481,77.9793,102.336,59.7507,-1,118.963,-1,-1,-1,-1,63.7581,103.112,32.5654,48.2291,63.2513,110.122,101.634,-1,-1,75.2069
114.831,72.8571,-1,114.982,-1,120.574,-1,84.6702,74.0259,111.156,47.3847,112.073,101.241,59.1436,-1,75.3041,107.147,-1,-1,-1
-1,53.4531,97.0298,-1,-1,120.683,96.6262,-1,113.737,-1,-1,66.3829,117.138,119.909,-1,26.1853,108.442,12.0792,119.181,118.449
36.5273,116.563,120.012,77.3873,-1,113.341,81.3433,117.854,-1,56.532,44.1311,-1,-1,121.03,-1,-1,117.829,28.7909,51.7679,40.3164
-1,-1,117.852,-1,53.3018,69.7341,115.034,43.9338,56.6686,-1,40.0655,47.8712,66.7365,38.7349,54.7931,-1,-1,11.1528,116.793,63.9036
57.6712,116.996,118.354,51.9113,99.4819,63.4002,44.7271,-1,91.2193,88.1,-1,-1,-1,116.703,111.971,116.215,56.3265,104.339,90.7677,-1
-1,-1,121.031,60.1362,34.9016,117.392,46.6717,-1,-1,-1,38.1003,-1,-1,63.7794,-1,-1,-1,114.473,-1,113.424
-1,-1,81.6802,39.6608,117.237,121.072,19.2049,-1,-1,-1,120.8,40.3522,33.7335,57.2802,120.368,-1,116.846,121.062,48.3277,121.046
50.8351,-1,84.5927,121.051,121.008,50.1472,-1,50.162,118.017,-1,19.2168,116.771,53.6278,116.814,118.38,-1,-1,-1,120.977,120.976
43.1478,64.7674,117.822,83.1924,-1,-1,119.366,-1,117.315,121.083,120.261,-1,117.87,-1,119.903,-1,118.611,26.7479,121.064,118.554
