-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.23454,-1
-1,-1,-1,-1,-1,-1,53.6982,-1,-1,-1,-1,-1,-1,-1,26.5794,-1,50.4664,-1,68.8754,-1
-1,-1,-1,-1,48.3842,-1,-1,68.8052,-1,-1,-1,-1,60.0129,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,74.0405,-1,-1,-1,-1,-1,-1,68.9456,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,42.7654,-1,-1,58.1223,-1,-1,-1,53.5275,-1,-1,32.9648,53.5933,-1,40.9212,-1,108.451
72.034,67.4587,-1,-1,-1,-1,48.7016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.6982,105.518
1.31787,-1,-1,-1,-1,81.5775,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,70.4874,-1,-1,-1,-1,41.2776,55.5632,-1,-1,-1,-1,-1,-1,-1,-1,22.691,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,29.4719,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,108.045,74.8958,-1,-1,-1,57.6524,-1,-1,-1,-1,73.6981,-1,-1,-1,-1,66.7443,47.0779,-1,-1
54.3228,-1,51.2536,-1,-1,42.8688,-1,-1,-1,-1,-1,62.4697,-1,-1,-1,-1,-1,-1,-1,73.5494
-1,1.89856,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.9389,-1,-1,-1,-1,-1,90.7059,1.15834,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,109.614,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,55.4765,-1,-1,-1,-1,-1,51.0235,-1,-1,-1,-1
61.6275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38.8347,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,54.6312,-1,-1,-1,-1,-1,-1,-1,-1,62.8079,-1,-1
-1,1.56405,55.8592,-1,-1,-1,40.0706,-1,10.7623,82.4136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.2487,61.7772,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.2013
-1,-1,-1,-1,-1,-1,-1,100.803,-1,-1,-1,-1,-1,-1,-1,32.882,35.7496,-1,-1,-1
-1,-1,81.8848,-1,-1,-1,-1,-1,71.5344,62.0942,73.7653,-1,-1,-1,-1,-1,-1,96.6856,-1,-1
-1,-1,-1,-1,-1,17.5609,-1,-1,-1,-1,-1,24.147,103.928,-1,-1,-1,36.7991,-1,29.7577,10.4526
-1,45.9068,-1,62.1379,-1,-1,-1,-1,-1,45.7487,-1,-1,-1,-1,8.99193,-1,-1,-1,-1,20.303
-1,10.2123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54.3964,-1,-1,-1,-1,-1,-1
66.3048,56.8765,105.991,-1,-1,-1,-1,-1,-1,61.8939,-1,-1,-1,-1,-1,-1,32.8457,-1,19.1097,-1
-1,-1,77.2594,-1,-1,-1,-1,-1,-1,-1,-1,-1,41.1876,-1,-1,53.3501,39.9981,-1,-1,-1
-1,-1,-1,77.1309,47.9814,65.2037,-1,-1,-1,-1,7.52018,-1,-1,-1,102.951,13.9095,-1,68.5905,-1,-1
-1,63.1283,-1,-1,43.9554,-1,59.2065,-1,-1,22.6181,63.7352,-1,-1,-1,-1,-1,-1,-1,-1,50.2342
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.4067,56.4988,-1,-1,-1,55.0425,-1,-1,-1,-1
-1,-1,54.9207,-1,91.5997,-1,-1,41.1003,-1,-1,85.2734,-1,-1,-1,-1,0.844308,-1,-1,-1,-1
-1,32.9646,-1,-1,-1,-1,89.7508,-1,-1,69.2796,-1,-1,-1,-1,70.7507,77.144,54.8253,-1,-1,-1
-1,8.21932,-1,-1,76.944,-1,-1,-1,33.5595,-1,-1,-1,-1,-1,48.9846,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7.9455,80.2873,-1,44.9997,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.8326,-1,-1,-1,-1,-1,-1
8.39887,-1,-1,-1,33.5981,21.4612,-1,-1,39.8477,71.7019,-1,-1,54.9944,73.5136,-1,78.5033,51.7984,-1,51.4729,-1
-1,-1,-1,-1,113.063,-1,-1,-1,-1,-1,-1,-1,112.167,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,37.2023,-1,12.4561,-1,-1,-1,-1,-1,-1,-1,8.33595,16.5484,63.0734,45.0987,35.5573,50.2129,-1
-1,-1,65.5182,-1,-1,26.2895,-1,-1,-1,-1,77.3465,-1,-1,-1,83.0338,-1,50.6113,-1,-1,-1
-1,-1,-1,-1,-1,38.7639,-1,-1,-1,-1,84.9526,-1,-1,-1,-1,-1,-1,-1,-1,-1
64.835,-1,24.5161,-1,-1,69.2223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,10.6596,-1,-1,17.94,-1,-1,58.6525,-1,46.8122,3.02763,-1,88.8544,71.0054,59.5169,101.446
-1,110.201,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.0808,60.3377,-1,-1,-1,98.5065,-1,-1,44.5863
-1,-1,84.9184,83.8989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.7162,-1,95.9264,90.8717
